,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,police,police
4,4,pensais,thought
5,5,aide,help
6,7,genre,kind
7,8,mois,month
8,9,frère,brother
9,10,laisser,let
10,11,car,because
11,12,aucun,no
12,13,laisse,leash
13,14,eux,them
14,15,ville,city
15,16,chaque,each
16,17,parlé,speak
17,18,arrivé,come
18,19,bébé,baby
19,20,longtemps,long time
20,21,heures,hours
21,22,vont,will
22,23,revoir,meet again
23,24,place,square
24,25,parle,speak
25,26,compris,understood
26,27,savais,knew
27,28,étaient,were
28,29,attention,Warning
29,30,voici,here is
30,31,pourrais,could
31,32,affaire,case
32,34,type,type
33,35,leurs,their
34,36,donné,given
35,37,train,train
36,38,corps,body
37,39,endroit,place
38,40,yeux,eyes
39,41,façon,way
40,42,écoute,listen
41,43,dont,whose
42,45,perdu,lost
43,46,main,hand
44,47,première,first
45,48,côté,side
46,49,pouvoir,power
47,50,vieux,old
48,51,sois,be
49,52,tiens,here
50,53,tellement,so much
51,55,point,point
52,56,venu,came
53,58,pardon,sorry
54,59,venez,come
55,60,vers,towards
56,61,minutes,minutes
57,62,demandé,request
58,63,chambre,bedroom
59,64,mis,placed
60,65,belle,beautiful
61,66,droit,law
62,67,aimerais,would like to
63,68,aujourd'hui,today
64,69,mari,husband
65,70,cause,cause
66,71,enfin,finally
67,72,espère,hope
68,73,eau,water
69,74,attendez,Wait
70,75,nouvelle,new
71,76,boulot,job
72,77,arrêter,Stop
73,78,dirait,would say
74,79,compte,account
75,80,loin,far
76,82,croire,believe
77,83,chérie,sweetheart
78,84,gros,large
79,85,plutôt,rather
80,86,aura,will have
81,87,jouer,to play
